attempt_index,decision_time_utc,execution_time_utc,split,reference_price_cad,execution_price_cad,execution_volume_btc,maximum_participation_fraction,maximum_participating_quantity_btc,affordable_quantity_btc,executed_quantity_btc,volume_participation_fraction,volume_cap_applied,gross_notional_cad,fee_cad,slippage_cad,cash_after_cad,btc_after,outcome
1,2018-09-20T00:15:00Z,2018-09-20T00:16:00Z,development,8126.682310239375724981545924285563640198,8134.9,0.9483,0.1,0.09483,0.1219515288526585530851102647,0.09483,0.1,True,771.432567,6.171460536,0.77928352,222.395972464,0.09483,filled_volume_capped
2,2018-09-22T00:15:00Z,2018-09-22T00:16:00Z,development,8700,8708.7,0.5,0.1,0.05,0.02533454190217737015766572417,0.02533454,0.05066908,False,220.630908498,1.765047267984,0.220410498,0.000016698016,0.12016454,filled_remaining_cash
