momentum_days,trend_days,volatility_days,pre_registered_selected,selection_performed,pre_holdout_observation_count,pre_holdout_total_return,pre_holdout_sharpe,pre_holdout_max_drawdown
60,150,20,False,False,2128,1.750039592403712,1.154507179992601862466188530,0.1949047715846231460209026668
60,150,30,False,False,2128,1.763211521938768,1.162069756952668495803114081,0.1846591749421223490903021141
60,150,60,False,False,2128,1.837091061950208,1.218742735959852274532088279,0.1656221957297039195542123204
60,200,20,False,False,2128,0.263321340716496,0.4697578450055265370005221264,0.1948458926737760925869333090
60,200,30,False,False,2128,0.234272282827632,0.4059496713696468773485820187,0.2219958202872927977006128513
60,200,60,False,False,2128,1.098413777440736,0.9479620917984792550130637382,0.2000931011366904115479291501
60,250,20,False,False,2128,0.224726249446624,0.3964732775873393317134356544,0.2209906739653617315140341131
60,250,30,False,False,2128,0.226133290625104,0.4025471146490758213907643944,0.2013398154911907574176719119
60,250,60,False,False,2128,1.557057627249664,1.120174297795374667012183174,0.1698346606486945328019174255
90,150,20,False,False,2128,0.40865368692944,0.6002386081876892769442035361,0.1988671683922635223413087018
90,150,30,False,False,2128,0.386294307072384,0.5719970653302186429467340078,0.2024491302405277416510757316
90,150,60,False,False,2128,2.306543151549184,1.413450135076670310044900626,0.1845465760991502143313632443
90,200,20,False,False,2128,0.239822497135008,0.4568112883874841552603552375,0.2074964668030763084293524436
90,200,30,True,False,2128,0.22527204548952,0.4362175194669162277930127255,0.2083148627765723741034545679
90,200,60,False,False,2128,0.225880749662736,0.4444427616965155685614079934,0.1961688489855682163933464619
90,250,20,False,False,2128,0.222702766426448,0.4363601256083970623452436340,0.2032377528581460173155842739
90,250,30,False,False,2128,0.23583623688472,0.4634436311844714764752552528,0.1957647809050190692582048739
90,250,60,False,False,2128,2.037462944349808,1.322809432853106170696931931,0.1719643266037854630954392692
120,150,20,False,False,2128,0.2602518296832,0.4853386114273503566071328137,0.2090190667039423410893305371
120,150,30,False,False,2128,0.241810131427088,0.4474461092663060552503559184,0.1956586051678309279984793616
120,150,60,False,False,2128,2.116460697635504,1.356317963625291092576954514,0.1625168925844988964522579674
120,200,20,False,False,2128,0.262356256184448,0.4886586665555721457592844240,0.2088543213490763529940583002
120,200,30,False,False,2128,0.238367765131296,0.4422282896655724051779773836,0.1990584327030718945410655295
120,200,60,False,False,2128,1.217299278981504,1.026785582340853601999287063,0.2040864112387001208423231029
120,250,20,False,False,2128,0.230926691081856,0.4421964529513415206150282615,0.2119044968352637064101317227
120,250,30,False,False,2128,0.191564403449424,0.3698876497103458521411398285,0.2034480048279539564158157675
120,250,60,False,False,2128,1.155838118925424,0.9816109651227585727810756730,0.2013482872232504844204438007
