intent_id,strategy_decision_id,signal_close_utc,decision_time_utc,execution_time_utc,split,strategy_reason,target_weight,pre_trade_equity_cad,requested_delta_cad,rebalance_band_cad,outcome,trade_id,remaining_btc_after_attempt
intent_761804401f03a4d25046d43e,d2a0b8c162e756e274c33ce6553459454eac2f51732f4c357b625c2edd33b719,2022-06-13T00:00:00Z,2022-06-13T00:15:00Z,2022-06-13T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_961cfec4a539e585f5261d0f,75a06f77fbb2fb7c724ec3e97090f48572ca17e54a4050bcccd18766f9df5908,2022-06-14T00:00:00Z,2022-06-14T00:15:00Z,2022-06-14T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_0407c59f44a70541723b4a97,808ab6b7b793b62ab502fd4dac9324d05dfb6f5206c747252e35499eb04ea1c5,2022-06-15T00:00:00Z,2022-06-15T00:15:00Z,2022-06-15T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_47fca4c15cb0f0224097d232,bc2d7ab83a840127c789d6bef880d6f2b4b559f81ca166350940d91fb0e45248,2022-06-16T00:00:00Z,2022-06-16T00:15:00Z,2022-06-16T00:18:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_38cbdac8e879ef6248208d55,0e6c1f2b0897a0fac091ccf303dbbf3e444dac2930c9e2b0572aad4e25fa92f7,2022-06-17T00:00:00Z,2022-06-17T00:15:00Z,2022-06-17T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_a7a5511f06c9d021ae616f96,46717f39d678bfa22a296206fd3fc40c565174853dd8e2446c035c7f6989f28a,2022-06-18T00:00:00Z,2022-06-18T00:15:00Z,2022-06-18T00:15:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_fill_reference_unavailable,,
intent_f8efd3c62cb1f68a17a69f3c,2b5f1979cae2c8c0a6ccb3cc71a70c8cde88e4cdc14f118617eafd64e35b25e9,2022-06-19T00:00:00Z,2022-06-19T00:15:00Z,2022-06-19T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_0bd6a22c17983e957bea5763,a0d1d56d123340cdc547d4b22f118685d49976d82abf80f4c5bcf0c89588b083,2022-06-20T00:00:00Z,2022-06-20T00:15:00Z,2022-06-20T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_231cd4bb30c9aa3429ec58a5,c75e8762765af0b07209edfd3dc0e57e8818685dd84549f8a0439a4fd839a948,2022-06-21T00:00:00Z,2022-06-21T00:15:00Z,2022-06-21T00:16:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
intent_f40cf36631a62426182092b2,de38a0e55c911dd3d10968bcf4d7ee75894f6f86e3f2c7216e05f570a581f142,2022-06-22T00:00:00Z,2022-06-22T00:15:00Z,2022-06-22T00:17:00Z,development,non_positive_momentum,0,1225.27204548952,0,61.263602274476,no_action_disarmed,,
