event_id,event_type,observed_at_utc,split,strategy_decision_id,equity_cad,reference_equity_cad,observed_fraction,threshold,action
risk_c2b4e20441fd2174c7076c78,drawdown_disarmed,2020-05-21T00:16:00Z,development,e1be405bec6fd182c6efdeebdfe363c71a5aad06cc05cae2212f289a1e14365e,1237.614575768016,1551.933266648848,0.2025336382920336562084432735,0.2,persist_disarm_and_force_liquidation
risk_e47bb5ecd8c9caa7648ba551,forced_liquidation,2020-05-21T00:16:00Z,development,e1be405bec6fd182c6efdeebdfe363c71a5aad06cc05cae2212f289a1e14365e,1237.614575768016,1551.933266648848,0.2025336382920336562084432735,0.2,attempted_volume_capped_forced_liquidation;remaining_btc=0.02521711
risk_1207888e0bf3b298fad23634,forced_liquidation,2020-05-22T00:16:00Z,development,f9f9a11924d6a0edcf22ec23127edc49c53b094b51abc171f2a47e0b59d176f5,1219.781116270768,1551.933266648848,0.2140247635101665900149313691,0.2,attempted_volume_capped_forced_liquidation;remaining_btc=0.01853721
risk_2fffef0b522425b8b26ff0ad,forced_liquidation,2020-05-23T00:18:00Z,development,ef86388f0122e7b482e37bacb648b88a4a3e0470d7b40c74bd5ef9ca4abc58da,1225.27204548952,1551.933266648848,0.2104866415195163189596484076,0.2,completed_forced_liquidation;remaining_btc=0
