strategy,frequency,period_utc,return_fraction
fee_aware_btc_buy_and_hold,month,2022-01,-0.1641177778027256794800752652
fee_aware_btc_buy_and_hold,month,2022-02,0.119480210067193178906994348
fee_aware_btc_buy_and_hold,month,2022-03,0.042216300705675826048279961
fee_aware_btc_buy_and_hold,month,2022-04,-0.1519987617189314827557037827
fee_aware_btc_buy_and_hold,month,2022-05,-0.1674055483877947758453189886
fee_aware_btc_buy_and_hold,month,2022-06,-0.3605909428130196659023851225
fee_aware_btc_buy_and_hold,month,2022-07,0.162709354880721148489082232
fee_aware_btc_buy_and_hold,month,2022-08,-0.1179978152941181282671250393
fee_aware_btc_buy_and_hold,month,2022-09,0.01840935840408723022509626
fee_aware_btc_buy_and_hold,month,2022-10,0.039252322301716112707512652
fee_aware_btc_buy_and_hold,month,2022-11,-0.1755316467767935728488189335
fee_aware_btc_buy_and_hold,month,2022-12,-0.0328664447741029553354619457
fee_aware_btc_buy_and_hold,month,2023-01,0.380630699185009738543878205
fee_aware_btc_buy_and_hold,month,2023-02,0.026221428172287434592765546
fee_aware_btc_buy_and_hold,month,2023-03,0.222361632472667510409050721
fee_aware_btc_buy_and_hold,month,2023-04,0.026726850707893746908836841
fee_aware_btc_buy_and_hold,month,2023-05,-0.0667545757736951057536726043
fee_aware_btc_buy_and_hold,month,2023-06,0.08649984101828393324554212
fee_aware_btc_buy_and_hold,month,2023-07,-0.039313670536286684172111729
fee_aware_btc_buy_and_hold,month,2023-08,-0.0893721058705117544107453402
fee_aware_btc_buy_and_hold,month,2023-09,0.044005740571725544514316356
fee_aware_btc_buy_and_hold,month,2023-10,0.314911176711865735664900035
fee_aware_btc_buy_and_hold,month,2023-11,0.062480514277917108199355704
fee_aware_btc_buy_and_hold,month,2023-12,0.092811436656232490655129136
fee_aware_btc_buy_and_hold,month,2024-01,0.023863695295412676205590207
fee_aware_btc_buy_and_hold,month,2024-02,0.450398801614583284576408887
fee_aware_btc_buy_and_hold,month,2024-03,0.162408853437246982244750381
fee_aware_btc_buy_and_hold,month,2024-04,-0.133330498622559838111612041
fee_aware_btc_buy_and_hold,month,2024-05,0.101168795568773853227688064
fee_aware_btc_buy_and_hold,month,2024-06,-0.0686094044041845680941491703
fee_aware_btc_buy_and_hold,month,2024-07,0.041802875067891239626320131
fee_aware_btc_buy_and_hold,month,2024-08,-0.1103269638000854740371579965
fee_aware_btc_buy_and_hold,month,2024-09,0.07748466228561918032925364
fee_aware_btc_buy_and_hold,month,2024-10,0.142543562240160930085345803
