variant,risk_epoch,audit_record_id,event_id,event_type,observed_at_utc,split,strategy_decision_id,equity_cad,reference_equity_cad,observed_fraction,threshold,action
sealed_frozen_v1_persistent_disarm,1,audit_f5e57177fcf65887458cfff1,risk_c2b4e20441fd2174c7076c78,drawdown_disarmed,2020-05-21T00:16:00Z,development,e1be405bec6fd182c6efdeebdfe363c71a5aad06cc05cae2212f289a1e14365e,1237.614575768016,1551.933266648848,0.2025336382920336562084432735,0.2,persist_disarm_and_force_liquidation
sealed_frozen_v1_persistent_disarm,1,audit_4e8540cb123cc58b0399eb85,risk_e47bb5ecd8c9caa7648ba551,forced_liquidation,2020-05-21T00:16:00Z,development,e1be405bec6fd182c6efdeebdfe363c71a5aad06cc05cae2212f289a1e14365e,1237.614575768016,1551.933266648848,0.2025336382920336562084432735,0.2,attempted_volume_capped_forced_liquidation;remaining_btc=0.02521711
sealed_frozen_v1_persistent_disarm,1,audit_8d41e670e6a207870cae4b23,risk_1207888e0bf3b298fad23634,forced_liquidation,2020-05-22T00:16:00Z,development,f9f9a11924d6a0edcf22ec23127edc49c53b094b51abc171f2a47e0b59d176f5,1219.781116270768,1551.933266648848,0.2140247635101665900149313691,0.2,attempted_volume_capped_forced_liquidation;remaining_btc=0.01853721
sealed_frozen_v1_persistent_disarm,1,audit_5720282f18e7f69ba3a3e58c,risk_2fffef0b522425b8b26ff0ad,forced_liquidation,2020-05-23T00:18:00Z,development,ef86388f0122e7b482e37bacb648b88a4a3e0470d7b40c74bd5ef9ca4abc58da,1225.27204548952,1551.933266648848,0.2104866415195163189596484076,0.2,completed_forced_liquidation;remaining_btc=0
mechanical_90d_trend_rearm,1,audit_6dc534fcc21ffa83be7d5436,risk_d31d5cebefcda50a5849b74d,drawdown_disarmed,2020-05-21T00:16:00Z,development,e1be405bec6fd182c6efdeebdfe363c71a5aad06cc05cae2212f289a1e14365e,1237.614575768016,1551.933266648848,0.2025336382920336562084432735,0.2,cooldown_disarm_and_force_liquidation;rearm_eligible_at=2020-08-19T00:16:00+00:00;risk_epoch=1
mechanical_90d_trend_rearm,1,audit_db78e293a546a858c287a2bd,risk_e47bb5ecd8c9caa7648ba551,forced_liquidation,2020-05-21T00:16:00Z,development,e1be405bec6fd182c6efdeebdfe363c71a5aad06cc05cae2212f289a1e14365e,1237.614575768016,1551.933266648848,0.2025336382920336562084432735,0.2,attempted_volume_capped_forced_liquidation;remaining_btc=0.02521711
mechanical_90d_trend_rearm,1,audit_3d1ffee1118ca2abaf7af715,risk_1207888e0bf3b298fad23634,forced_liquidation,2020-05-22T00:16:00Z,development,f9f9a11924d6a0edcf22ec23127edc49c53b094b51abc171f2a47e0b59d176f5,1219.781116270768,1551.933266648848,0.2140247635101665900149313691,0.2,attempted_volume_capped_forced_liquidation;remaining_btc=0.01853721
mechanical_90d_trend_rearm,1,audit_9f3f54dca78ee661f8d605cc,risk_2fffef0b522425b8b26ff0ad,forced_liquidation,2020-05-23T00:18:00Z,development,ef86388f0122e7b482e37bacb648b88a4a3e0470d7b40c74bd5ef9ca4abc58da,1225.27204548952,1551.933266648848,0.2104866415195163189596484076,0.2,completed_forced_liquidation;remaining_btc=0
mechanical_90d_trend_rearm,2,audit_ac3b2ddc699d7087eaa07836,risk_396bc15a75bd7717c436576c,drawdown_rearmed,2020-08-20T00:15:00Z,development,e03970bb8ff609d6b526f94327ca66208bfa09e719ac7623355befe5fe8fa4bd,1225.27204548952,1551.933266648848,0.2104866415195163189596484076,0.2,rearm_after_cooldown_on_causal_long_signal;risk_epoch=2;high_water_equity=1225.272045489520
mechanical_90d_trend_rearm,2,audit_3d41baf61d694b90c5c9e5e1,risk_20075f28dccd214d26f0170a,drawdown_disarmed,2022-01-06T00:17:00Z,development,ad29ff315550830bda94e4751035b0ff29a54357fd6908387e8c5fdf2093b7ed,1881.720576294912,2361.23301041248,0.2030771347016712863413063278,0.2,cooldown_disarm_and_force_liquidation;rearm_eligible_at=2022-04-06T00:17:00+00:00;risk_epoch=2
mechanical_90d_trend_rearm,2,audit_2a7a1b473c366c506bc02245,risk_56ea995a9682255c9ad7d3f1,forced_liquidation,2022-01-06T00:17:00Z,development,ad29ff315550830bda94e4751035b0ff29a54357fd6908387e8c5fdf2093b7ed,1881.720576294912,2361.23301041248,0.2030771347016712863413063278,0.2,completed_forced_liquidation;remaining_btc=0
mechanical_90d_trend_rearm,3,audit_07842439a0d1dc159b05f97e,risk_909b4ea355e6f7605dd53b49,drawdown_rearmed,2023-01-14T00:15:00Z,development,914b92658587832f4c24dc6c7e7ca3051c53de272f6f96b39f3c91fc42c402e8,1881.720576294912,2361.23301041248,0.2030771347016712863413063278,0.2,rearm_after_cooldown_on_causal_long_signal;risk_epoch=3;high_water_equity=1881.720576294912
