variant,reference_variant,scope,final_equity_delta_cad,net_profit_delta_cad,total_return_delta,cagr_delta,sharpe_delta,max_drawdown_delta,average_exposure_delta,trade_count_delta
no_drawdown_gate,sealed_frozen_v1_persistent_disarm,full_evaluation,1803.628806427056,1803.628806427056,1.803628806427056,0.1359667081319305135671891071,0.7172777594251125088381167622,0.0281597174955595515356108661,0.1516070698560001737499339196,302
no_drawdown_gate,sealed_frozen_v1_persistent_disarm,development,930.969371306368,930.969371306368,0.930969371306368,0.1445498536919687305582832969,0.6358741310121798732651718575,0.0281597174955595515356108661,0.119685133260756024981704052,
no_drawdown_gate,sealed_frozen_v1_persistent_disarm,validation,1585.558796490192,654.589425183824,0.303578912864276968418213674,0.1994843731025661566422656174,,0.0654263946411031410034772774,0.2509147611046891733956586116,
no_drawdown_gate,sealed_frozen_v1_persistent_disarm,opened_v1_holdout,1803.628806427056,218.070009936864,0.077582046802672013859143719,0.0526012126216709608555165482,,0.0710621516064087808296420674,0.1480645216859301023606789411,
mechanical_90d_trend_rearm,sealed_frozen_v1_persistent_disarm,full_evaluation,1566.856578404736,1566.856578404736,1.566856578404736,0.1230357145408879051672400138,0.6338185994927105107406943322,0.0728225552541716400320216278,0.1450105126129966349587923118,292
mechanical_90d_trend_rearm,sealed_frozen_v1_persistent_disarm,development,694.692585798304,694.692585798304,0.694692585798304,0.1133243004831028041708379879,0.49488141794216699996414335,0.0728225552541716400320216278,0.09481170881355386035580592555,
mechanical_90d_trend_rearm,sealed_frozen_v1_persistent_disarm,validation,1348.786568467872,654.093982669568,0.340680225047079033877291005,0.2228032312175953972029956593,,0.0732864431155572934821421256,0.2797954366396938275741739403,
mechanical_90d_trend_rearm,sealed_frozen_v1_persistent_disarm,opened_v1_holdout,1566.856578404736,218.070009936864,0.084718354412916907899450639,0.05737890256818600495949388369,,0.0768695080289467710522513945,0.1608209515551415622514800562,
